nro_llamado,titulo,fecha_inicio,fecha_fin,tipo_tarea,tipo_vinculo,tiempo_contrato,descripcion,requisitos,recepcion_postulaciones,recepcion_consultas,telefono_consultas,organismo,comentario_interes
6908/2020,920020 - OPERARIOS/AS MONTEVIDEO - Administración Nacional de Usinas y Trasmisiones Eléctricas - Art. 4 Ley N° 19.122 - Art. 12 Ley 19.684,27/10/2020,06/10/2020,Operativas de oficio,Presupuestado,,TRASMISIÓN:,"o Tener entre 18 y 35 años al cierre del plazo de inscripción.o Formación requerida del segundo ciclo de CETP (ex UTU), según opción de inscripción: - Educación Media Tecnológica (EMT) perfil Electrónica opción: Electro-electrónica o Educación Media Profesional (EMP) perfil Electrónica opción Electrónica Industrial o Mantenimiento de Equipos Electrónicos.- Educación Media Tecnológica (EMT) perfil Electromecánica opción Electromecánica o Educación Media Profesional (EMP) perfil Mecánica, opciones: Mantenimiento Industrial o Mecánica en Producción. En los anteriores casos se exigirá tener aprobado primer año sin previas y por lo menos dos asignaturas de segundo año de las opciones solicitadas.- Ser egresado/a del curso de CETP de Bachillerato Profesional “Operación y Mantenimiento de Instalaciones Eléctricas en Baja y Media Tensión” y “Operación y Mantenimiento de Instalaciones de Trasmisión“",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,o Tener entre 18 y 35 años al cierre del plazo de inscripción.
6909/2020,920019 - TORREROS/AS - Administración Nacional de Usinas y Trasmisiones Eléctricas - Art. 4 Ley N° 19.122 - Varias Localidades,27/10/2020,06/10/2020,Operativas de oficio,Presupuestado,,Realizar las tareas de mantenimiento y/o montaje de líneas de trasmisión y trabajos en altura en subestaciones de la Regional asignadas a su grupo de trabajo a fin de contribuir a la confiabilidad de la trasmisión de energía eléctrica.,"o Tener entre 18 y 35 años al cierre del plazo de inscripción.o Formación requerida del segundo ciclo de CETP (ex UTU): Educación Media Tecnológica (EMT) perfil Electromecánica opción: Electromecánica con nivel de avance primer año aprobado, admitiéndose hasta dos asignaturas previas. En cuanto a ciclo básico deberá estar aprobado sin previas.",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,"Vivir en la localidad de inscripción o hasta 30 km aledaños, debiendo presentar la factura de un servicio que se encuentre a su nombre, en donde figure su domicilio actual, exceptuándose los servicios vinculados con la contratación de telefonía móvil. En el caso que no le resulte posible presentar este documento, deberá presentar un certificado notarial que certifique el domicilio en el que vive y reside"
6910/2020,920001 - COMPUTACIÓN/INFORMÁTICA/SIS - Administración Nacional de Usinas y Trasmisiones Eléctricas - Art. 4 Ley N° 19.122,27/10/2020,06/10/2020,Profesionales,Presupuestado,,ANALISTA SGI:,"En orden de preferencia:Ingeniero/a en Computación. Licenciado/a en Sistemas, o Licenciado/a en Informática o Licenciado/a en Sistemas de Información. Estudiante avanzado de Ingeniero/a en Computación con un máximo de 60 créditos pendientes de aprobar.Estudiante avanzado de Licenciado/a en Sistemas, o Licenciado/a en Informática o Licenciado/a en Sistemas de Información con un máximo de 60 créditos pendientes de aprobar.Analista en Computación o Analista en Sistemas",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,"IMPORTANTE: En el caso de estudiantes avanzados de Ingeniería, en aquellas universidades en las cuales el grado de avance en la carrera se realice en función de los créditos aprobados, el control de los requisitos se realizará en base a éstos (60 créditos pendientes de aprobar); en caso de que la institución no compute créditos sino materias aprobadas para determinar el grado de avance, el control del requisito se realizará en función de las materias (6 materias pendientes de aprobar). En todos los casos, deberán haber rendido como mínimo un examen en el último año contados hasta cierre del plazo de inscripción del presente llamado."
6911/2020,920002 - COMPUTAICÓN/SIST/INFORMATICA - Administración Nacional de Usinas y Trasmisiones Eléctricas - Art. 4 Ley N° 19.122,27/10/2020,06/10/2020,Profesionales,Contratado,,EXPLOTACIÓN DE LOS SISTEMAS DE TRASMISIÓN:,"- Ingeniero/a en Computación. - Licenciado/a en Sistemas, o Licenciado/a en Informática o Licenciado/a en Sistemas de Información. - Estudiante avanzado de Ingeniero/a en Computación con un máximo de 60 créditos pendientes de aprobar.- Estudiante avanzado de Licenciado/a en Sistemas, o Licenciado/a en Informática o Licenciado/a en Sistemas de Información con un máximo de 60 créditos pendientes de aprobar.- Analista en Computacion o Analista en Sistemas.",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,"IMPORTANTE: En el caso de estudiantes avanzados de Ingeniería, en aquellas universidades en las cuales el grado de avance en la carrera se realice en función de los créditos aprobados, el control de los requisitos se realizará en base a éstos (60 créditos pendientes de aprobar); en caso de que la institución no compute créditos sino materias aprobadas para determinar el grado de avance, el control del requisito se realizará en función de las materias (6 materias pendientes de aprobar). En todos los casos, deberán haber rendido como mínimo un examen en el último año contados hasta cierre del plazo de inscripción del presente llamado"
6912/2020,920003 - INGENIERO/A CIVIL - Administración Nacional de Usinas y Trasmisiones Eléctricas - Varias Localidades,27/10/2020,06/10/2020,Profesionales,Presupuestado,,Gerencia de División Desarrollo de Trasmisión,"o Ser egresado/a con título de Ingeniero Civil, de la Facultad de Ingeniería de la Universidad de la República o egresado/a de Universidades privadas con título reconocido por el Ministerio de Educación y Cultura",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,"o Al momento de tomar posesión del puesto deberá constituir residencia en la localidad indicada (o hasta 30 Km aledaños). Se le solicitará la presentación de una declaración jurada de domicilio, debiéndose tener en consideración lo dispuesto por el Artículo 239 del Código Penal que establece: “239. (Falsificación ideológica por un particular): El que, con motivo del otorgamiento o formalización de un documento público, ante un funcionario público, prestare una declaración falsa sobre su identidad o estado, o cualquiera otra circunstancia de hecho, será castigado con tres a veinticuatro meses de prisión”. UTE se reserva el derecho de verificar los certificados presentados."
6913/2020,920004 - INGENIEROS/AS MONTEVIDEO - Administración Nacional de Usinas y Trasmisiones Eléctricas - Art. 4 Ley N° 19.122,27/10/2020,06/10/2020,Profesionales,Presupuestado,,"Realizar tareas profesionales en diferentes áreas de la administración incluyendo entre otros, aspectos de análisis, coordinación, diagnóstico, mantenimiento, desarrollo y evaluación.","o Ser Ingeniero/a Eléctrico o Ingeniero/a Industrial Mecánico o Ingeniero en Producción o estudiantes avanzados de dichas carreras, impartidas en la Facultad de Ingeniería de la Universidad de la República o de Universidades Privadas cuyas carreras sean equivalentes a las solicitadas y reconocidas por el Ministerio de Educación y Cultura. o En los casos que se acepten estudiantes se requerirá ser estudiante avanzado con hasta 40 créditos pendientes de las carreras mencionadas en el punto anterior, impartidas en la Facultad de Ingeniería de la Universidad de la República o de Universidades Privadas cuyas carreras sean equivalentes a las solicitadas y reconocidas por el Ministerio de Educación y Cultura. Importante: En caso de que la institución no compute créditos sino materias aprobadas, para determinar el grado de avance el control del requisito se realizará en función de las materias (4 materias pendientes de aprobar).",https://portal.ute.com.uy/institucional/ute/concursos,llamadosexternos@ute.com.uy,155 - 2303 - 2199,Administración Nacional de Usinas y Trasmisiones Eléctricas,o Tener como mínimo 18 años cumplidos al cierre del plazo de inscripción.
6806/2020,Asistente de Dpto. Cardiología - Universidad de la República - Facultad de Medicina,21/12/2020,21/09/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de Asistente Gr. 2 del Dpto. de Cardiología del Centro Cardiovascular,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Título de Doctor en Medicina Deben escanear o sacarle foto de ambos lados con el celular y adjuntar como pdf.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"IMPORTANTE La relación de méritos tiene valor de declaración jurada. A los postulantes les llegará una comunicación del Dpto. de Concursos indicando en que forma y cuando deben presentar los méritos, luego de confirmada su inscripción.Los formularios se podrán descargar del siguiente enlace: http://www.fmed.edu.uy/concursos/formulariosLos mismos deberán presentarse completados en computadora. IMPORTANTE:Por resolución adoptada por el Consejo de Facultad de Medicina de fecha 24.10.01, nro. 20 ""Dado lo prolongado de los trámites de expedición de títulos, el Consejo podrá autorizar la inscripción a los concursos para la provisión titular de Grado. 2 de Materias de Diagnóstico y Tratamiento Especializado y Materias Clínicas, a aquellos egresados de la carrera de Doctor en Medicina que tengan en trámite el Título, dejando constancia que en el caso de ser ganadores eventuales no podrán tomar posesión del cargo hasta no tener efectivamente el Título correspondiente, habilitado por el Ministerio de Salud Pública. Las solicitudes deberán realizarse en cada caso en Sección Concursos: - Que no hayan transcurrido más de doce años entre la fecha en que se está en condiciones de obtener el título de Doctor en Medicina y el momento de la inscripción (modificado por resolución del C.D.C. con fecha 9.6.92). - Quienes hubieran ocupado en efectividad un cargo de grado II no podrán volver a concursar por un cargo análogo en la misma disciplina."
6807/2020,Prof. Adjun. Dpto. Anatomía Patológica - Universidad de la República - Facultad de Medicina,21/12/2020,21/09/2020,Docentes,Presupuestado,,tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto Gr. 3 del Dpto. de,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"IMPORTANTE La relación de méritos tiene valor de declaración jurada. A los postulantes les llegará una comunicación del Dpto. de Concursos indicando en que forma y cuando deben presentar los méritos, luego de confirmada su inscripción.Los formularios se podrán descargar del siguiente enlace: http://www.fmed.edu.uy/concursos/formulariosLos mismos deberán presentarse completados en computadora.El nuevo Reglamento se encuentra en la página de Facultad de Medicina en el siguiente enlace: http://www.fmed.edu.uy/sites/default/files/concurso/reglamentos/reglamentogdo2matclinicas2010.pdfNO SE RECIBIRÁN INSCRIPCIONES FUERA DE PLAZO Y HORARIO ESTABLECIDOS BAJO NINGÚN CONCEPTO. SE TENDRÁ EN CUENTA LA HORA DEL MAIL. SE PONE EN CONOCIMIENTO DE LOS INTERESADOS QUE TODA INFORMACIÓN REFERENTE AL CARGO AL CUAL ASPIRA, SERÁ COMUNICADO VÍA E-MAIL."
6808/2020,Asistente Bacteriol y Virolog peff viro - Universidad de la República - Facultad de Medicina,21/12/2020,21/09/2020,Docentes,Presupuestado,,"Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto, Gr. 3 del dpto. de Bacteriología y Virología con perfil en Virología","Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"IMPORTANTE La relación de méritos tiene valor de declaración jurada. A los postulantes les llegará una comunicación del Dpto. de Concursos indicando en que forma y cuando deben presentar los méritos, luego de confirmada su inscripción.Los formularios se podrán descargar del siguiente enlace: http://www.fmed.edu.uy/concursos/formulariosLos mismos deberán presentarse completados en computadora. El nuevo Reglamento se encuentra en la página de Facultad de Medicina en el siguiente enlace: http://www.fmed.edu.uy/sites/default/files/concurso/reglamentos/reglamentogdo2matclinicas2010.pdfNO SE RECIBIRÁN INSCRIPCIONES FUERA DE PLAZO Y HORARIO ESTABLECIDOS BAJO NINGÚN CONCEPTO. SE TENDRÁ EN CUENTA LA HORA DEL MAIL. SE PONE EN CONOCIMIENTO DE LOS INTERESADOS QUE TODA INFORMACIÓN REFERENTE AL CARGO AL CUAL ASPIRA, SERÁ COMUNICADO VÍA E-MAIL."
6809/2020,"Arquitecto - Universidad de la República - DGP_DEP.CONCURSOS LLAMADOS TEC., ADMINST. Y SERVICIO",14/10/2020,28/09/2020,Profesionales con supervisión,Presupuestado,no corresponde,"Arquitecto (Escalafón A, Subscalafón 2, Profesional III, Grado 12). Tres (3) cargos para la Dirección General de Arquitectura (DGA).- Oficinas Centrales. Ver descripción del cargo en documento adjunto.",Ver requisitos indispensables en las bases del llamado.,"Las inscripciones se realizarán en el período indicado, exclusivamente en la página www.concursos.udelar.edu.uy",dgpconcursos@oce.edu.uy,Consultar por correo electrónico,"Universidad de la República - DGP_DEP.CONCURSOS LLAMADOS TEC., ADMINST. Y SERVICIO",Leer con atención las bases del llamado.
